ROAD_GEOMETRY_CATEGORY,SEVERITY_MEAN,SEVERITY_VARIANCE
Not at intersection,2.5726061182986455,0.2891259233687731
Dead end,2.5930232558139537,0.25445396436828505
Unknown,2.6273062730627306,0.24947382807161406
T intersection,2.6283697363242817,0.25586123099553437
Multiple intersection,2.6290877796901895,0.2534893828233612
Y intersection,2.6475409836065573,0.23845863953269272
Cross intersection,2.6601769048953434,0.24389168857328622
Road closure,2.6666666666666665,0.2666666666666666
Private property,2.727272727272727,0.21818181818181817
