ROAD_GEOMETRY_CATEGORY,SERIOUS_AND_FATAL_ACCIDENT_PROB
Not at intersection,40.52182943187227
Dead end,40.116279069767444
Unknown,36.53136531365313
Multiple intersection,36.08720596672404
T intersection,36.05125934671389
Y intersection,34.75409836065574
Road closure,33.33333333333333
Cross intersection,33.01493701113575
Private property,27.27272727272727
