LIGHT_CONDITION_CATEGORY,SEVERITY_MEAN,SEVERITY_VARIANCE
Dark without Lighting,2.436762911752745,0.3487205420549261
Dark with Lighting,2.5668081369822917,0.27964612864038446
Daylight,2.6154278005412968,0.2658047823368403
Limited Light,2.635230739274356,0.25743195863441914
Unknown,2.800354138999557,0.1719125073887837
