ROAD_SURFACE_CATEGORY,SEVERITY_MEAN,SEVERITY_VARIANCE
Unpaved,2.59297520661157,0.2724880944754092
Gravel,2.6005565393372123,0.26858123855965377
Paved,2.6249709076803724,0.263798692581014
Unknown,2.819246249542627,0.15326048582505744
