LIGHT_RISK,GEOMETRY_RISK,SURFACE_RISK,LIGHT_GEOMETRY_SURFACE,SEVERE_ACCIDENT_RATE,SEVERITY_MEAN,SEVERITY_VAR,COUNT,cluster
43.22747372316093,16.478155403382456,7.478695695131458,Dark without Lighting | Cross intersection | Gravel,54.166666666666664,2.4375,0.2938829787234043,48,1
43.22747372316093,18.01565066670927,6.999018251169509,Dark without Lighting | Multiple intersection | Paved,52.0,2.46,0.29131313131313125,100,1
43.22747372316093,17.995683195756968,7.478695695131458,Dark without Lighting | T intersection | Gravel,50.476190476190474,2.4285714285714284,0.3818681318681317,105,1
43.22747372316093,17.995683195756968,6.999018251169509,Dark without Lighting | T intersection | Paved,47.093023255813954,2.5021802325581395,0.3039952431289636,1376,1
43.22747372316093,16.478155403382456,6.999018251169509,Dark without Lighting | Cross intersection | Paved,45.28907922912205,2.5107066381156318,0.3230363704382032,934,1
31.253151054779956,18.235292847184525,7.60298458749407,Daylight | Unknown | Unpaved,43.75,2.5625,0.2625,16,1
35.14607259929591,18.01565066670927,7.478695695131458,Dark with Lighting | Multiple intersection | Gravel,42.857142857142854,2.5714285714285716,0.2571428571428571,21,1
43.22747372316093,17.346740389807344,6.999018251169509,Dark without Lighting | Y intersection | Paved,41.17647058823529,2.588235294117647,0.249554367201426,34,1
35.14607259929591,17.995683195756968,6.999018251169509,Dark with Lighting | T intersection | Paved,40.50144648023144,2.5776277724204437,0.2787138880871215,11407,1
43.22747372316093,18.235292847184525,6.999018251169509,Dark without Lighting | Unknown | Paved,40.0,2.5,0.5,10,1
